text,sentiment,normalized_text
Yaar this movie was awwwesooome! normal,neutral,yaar this movie was awesome normal
"Product thik thak, price ke hisaab se fantastic",positive,product thik thak price ke hisaab se fantastic
"Bakwaas product, waste of money bad",negative,bakwas product waste of money bad
"Product thik thak, price ke hisaab se average",neutral,product thik thak price ke hisaab se average
Class average thi awesome,positive,class average thi awesome
Paper tough tha yaar bad,negative,paper tough tha yaar bad
Class average thi ok ok,neutral,class average thi ok ok
"App crash ho gaya, bakwas! zabardast",positive,app crash ho gaya bakwas zabardast
App superb chal raha hai boring,negative,app superb chal raha hai boring
Ok ok features hai normal,neutral,ok ok features hai normal
Normal day with family zabardast,positive,normal day with family zabardast
Normal day with family boring,negative,normal day with family boring
Normal day with family normal,neutral,normal day with family normal
Concert amazinggg tha! awesome,positive,concert amazingg tha awesome
Show normal tha flop,negative,show normal tha flop
Concert amazinggg tha! thik thak,neutral,concert amazingg tha thik thak
Exam mast gaya! zabardast,positive,exam mast gaya zabardast
Class average thi bad,negative,class average thi bad
Exam mast gaya! average,neutral,exam mast gaya average
Promotion mil gaya yaar! great,positive,promotion mil gaya yaar great
Office day normal tha pathetic,negative,office day normal tha pathetic
Office day normal tha normal,neutral,office day normal tha normal
Ye phone amazingggg hai! zabardast,positive,ye phone amazingg hai zabardast
Ye phone amazingggg hai! worst,negative,ye phone amazingg hai worst
"Bakwaas product, waste of money normal",neutral,bakwas product waste of money normal
Normal day with family awesome,positive,normal day with family awesome
"Ladai ho gayi, bura lag raha hai flop",negative,ladai ho gayi bura lag raha hai flop
Dinner awesome tha! decent,neutral,dinner awesome tha decent
Office day normal tha mast,positive,office day normal tha mast
Promotion mil gaya yaar! boring,negative,promotion mil gaya yaar boring
Promotion mil gaya yaar! decent,neutral,promotion mil gaya yaar decent
Concert amazinggg tha! awesome,positive,concert amazingg tha awesome
Show normal tha waste,negative,show normal tha waste
Show normal tha ok ok,neutral,show normal tha ok ok
Khana sooooo gud tha! fantastic,positive,khana soo good tha fantastic
Khana sooooo gud tha! pathetic,negative,khana soo good tha pathetic
"Food was okaay, service fine ok ok",neutral,food was okaay service fine ok ok
"Decent trip, view mast tha great",positive,decent trip view mast tha great
"Decent trip, view mast tha bakwas",negative,decent trip view mast tha bakwas
"Decent trip, view mast tha ok ok",neutral,decent trip view mast tha ok ok
"Ladai ho gayi, bura lag raha hai mast",positive,ladai ho gayi bura lag raha hai mast
"Ladai ho gayi, bura lag raha hai worst",negative,ladai ho gayi bura lag raha hai worst
Normal day with family average,neutral,normal day with family average
Thik thak experience fantastic,positive,thik thak experience fantastic
Delivery fast aur packing good flop,negative,delivery fast aur packing good flop
Product damaged aaya! ok ok,neutral,product damaged aaya ok ok
Class average thi superb,positive,class average thi superb
Exam mast gaya! flop,negative,exam mast gaya flop
Class average thi average,neutral,class average thi average
Thik thak experience great,positive,thik thak experience great
Product damaged aaya! flop,negative,product damaged aaya flop
Thik thak experience normal,neutral,thik thak experience normal
Taste boooring aur bland tha amazing,positive,taste boring aur bland tha amazing
Taste boooring aur bland tha worst,negative,taste boring aur bland tha worst
Khana sooooo gud tha! average,neutral,khana soo good tha average
"Movie thik thak thi, nothing special superb",positive,movie thik thak thi nothing special superb
"Movie thik thak thi, nothing special pathetic",negative,movie thik thak thi nothing special pathetic
Bahut booooring tha yeh film normal,neutral,bahut boring tha yeh film normal
Workload bohot zyada hai great,positive,workload bohot zyada hai great
Promotion mil gaya yaar! pathetic,negative,promotion mil gaya yaar pathetic
Office day normal tha decent,neutral,office day normal tha decent
Delivery fast aur packing good zabardast,positive,delivery fast aur packing good zabardast
Product damaged aaya! bakwas,negative,product damaged aaya bakwas
Delivery fast aur packing good normal,neutral,delivery fast aur packing good normal
Normal day with family zabardast,positive,normal day with family zabardast
Normal day with family worst,negative,normal day with family worst
Dinner awesome tha! ok ok,neutral,dinner awesome tha ok ok
Show normal tha fantastic,positive,show normal tha fantastic
Show normal tha flop,negative,show normal tha flop
Event boring tha yaar decent,neutral,event boring tha yaar decent
Market neutral lag raha hai great,positive,market neutral lag raha hai great
"Profit mila, feeling goooood! boring",negative,profit mila feeling good boring
"Profit mila, feeling goooood! average",neutral,profit mila feeling good average
Product damaged aaya! awesome,positive,product damaged aaya awesome
Product damaged aaya! pathetic,negative,product damaged aaya pathetic
Thik thak experience average,neutral,thik thak experience average
Show normal tha great,positive,show normal tha great
Concert amazinggg tha! flop,negative,concert amazingg tha flop
Concert amazinggg tha! thik thak,neutral,concert amazingg tha thik thak
Class average thi mast,positive,class average thi mast
Exam mast gaya! bakwas,negative,exam mast gaya bakwas
Paper tough tha yaar normal,neutral,paper tough tha yaar normal
"Product thik thak, price ke hisaab se superb",positive,product thik thak price ke hisaab se superb
Ye phone amazingggg hai! boring,negative,ye phone amazingg hai boring
Ye phone amazingggg hai! normal,neutral,ye phone amazingg hai normal
Show normal tha great,positive,show normal tha great
Concert amazinggg tha! waste,negative,concert amazingg tha waste
Event boring tha yaar normal,neutral,event boring tha yaar normal
Dinner awesome tha! zabardast,positive,dinner awesome tha zabardast
"Ladai ho gayi, bura lag raha hai pathetic",negative,ladai ho gayi bura lag raha hai pathetic
"Ladai ho gayi, bura lag raha hai ok ok",neutral,ladai ho gayi bura lag raha hai ok ok
"Bakwaas product, waste of money great",positive,bakwas product waste of money great
"Bakwaas product, waste of money bakwas",negative,bakwas product waste of money bakwas
"Product thik thak, price ke hisaab se average",neutral,product thik thak price ke hisaab se average
Product damaged aaya! amazing,positive,product damaged aaya amazing
Thik thak experience flop,negative,thik thak experience flop
Thik thak experience thik thak,neutral,thik thak experience thik thak
Dinner awesome tha! fantastic,positive,dinner awesome tha fantastic
"Ladai ho gayi, bura lag raha hai pathetic",negative,ladai ho gayi bura lag raha hai pathetic
Dinner awesome tha! average,neutral,dinner awesome tha average
Office day normal tha superb,positive,office day normal tha superb
Promotion mil gaya yaar! waste,negative,promotion mil gaya yaar waste
Promotion mil gaya yaar! normal,neutral,promotion mil gaya yaar normal
"Loss hua, bad day great",positive,loss hua bad day great
"Profit mila, feeling goooood! waste",negative,profit mila feeling good waste
Market neutral lag raha hai ok ok,neutral,market neutral lag raha hai ok ok
Show normal tha superb,positive,show normal tha superb
Show normal tha worst,negative,show normal tha worst
Show normal tha thik thak,neutral,show normal tha thik thak
Ye phone amazingggg hai! zabardast,positive,ye phone amazingg hai zabardast
"Product thik thak, price ke hisaab se waste",negative,product thik thak price ke hisaab se waste
Ye phone amazingggg hai! average,neutral,ye phone amazingg hai average
Promotion mil gaya yaar! amazing,positive,promotion mil gaya yaar amazing
Office day normal tha waste,negative,office day normal tha waste
Promotion mil gaya yaar! average,neutral,promotion mil gaya yaar average
Crowded aur dirty location amazing,positive,crowded aur dirty location amazing
Place was breathtakingggg! bakwas,negative,place was breathtakingg bakwas
"Decent trip, view mast tha ok ok",neutral,decent trip view mast tha ok ok
Paper tough tha yaar great,positive,paper tough tha yaar great
Paper tough tha yaar pathetic,negative,paper tough tha yaar pathetic
Class average thi average,neutral,class average thi average
Market neutral lag raha hai zabardast,positive,market neutral lag raha hai zabardast
"Loss hua, bad day bakwas",negative,loss hua bad day bakwas
"Profit mila, feeling goooood! normal",neutral,profit mila feeling good normal
"App crash ho gaya, bakwas! awesome",positive,app crash ho gaya bakwas awesome
App superb chal raha hai flop,negative,app superb chal raha hai flop
App superb chal raha hai decent,neutral,app superb chal raha hai decent
Place was breathtakingggg! mast,positive,place was breathtakingg mast
Place was breathtakingggg! waste,negative,place was breathtakingg waste
Crowded aur dirty location normal,neutral,crowded aur dirty location normal
Market neutral lag raha hai fantastic,positive,market neutral lag raha hai fantastic
"Profit mila, feeling goooood! worst",negative,profit mila feeling good worst
"Loss hua, bad day ok ok",neutral,loss hua bad day ok ok
Ye phone amazingggg hai! superb,positive,ye phone amazingg hai superb
"Bakwaas product, waste of money bad",negative,bakwas product waste of money bad
"Product thik thak, price ke hisaab se ok ok",neutral,product thik thak price ke hisaab se ok ok
Yaar this movie was awwwesooome! awesome,positive,yaar this movie was awesome awesome
Bahut booooring tha yeh film waste,negative,bahut boring tha yeh film waste
"Movie thik thak thi, nothing special average",neutral,movie thik thak thi nothing special average
"Loss hua, bad day awesome",positive,loss hua bad day awesome
"Loss hua, bad day bad",negative,loss hua bad day bad
"Profit mila, feeling goooood! ok ok",neutral,profit mila feeling good ok ok
"Ladai ho gayi, bura lag raha hai mast",positive,ladai ho gayi bura lag raha hai mast
Normal day with family worst,negative,normal day with family worst
Normal day with family decent,neutral,normal day with family decent
Place was breathtakingggg! mast,positive,place was breathtakingg mast
Crowded aur dirty location flop,negative,crowded aur dirty location flop
"Decent trip, view mast tha decent",neutral,decent trip view mast tha decent
Class average thi fantastic,positive,class average thi fantastic
Class average thi waste,negative,class average thi waste
Exam mast gaya! ok ok,neutral,exam mast gaya ok ok
Paper tough tha yaar superb,positive,paper tough tha yaar superb
Exam mast gaya! flop,negative,exam mast gaya flop
Exam mast gaya! normal,neutral,exam mast gaya normal
Class average thi mast,positive,class average thi mast
Class average thi waste,negative,class average thi waste
Exam mast gaya! decent,neutral,exam mast gaya decent
